"City","Airline_Code","Airline_Name","Airport_Code","Airport_Name","Latitude","Longitude","Elevation","Cancelled"
"Atlanta","DL","Delta Air Lines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","853881"
"Atlanta","9E","Endeavor Air Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","173510"
"Atlanta","WN","Southwest Airlines Co.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","141460"
"Atlanta","OO","SkyWest Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","46908"
"Atlanta","NK","Spirit Air Lines","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","39857"
"Atlanta","AA","American Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","35541"
"Atlanta","YX","Republic Airline","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","30212"
"Atlanta","F9","Frontier Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","22361"
"Atlanta","UA","United Air Lines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","15593"
"Atlanta","B6","JetBlue Airways","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","10723"
"Atlanta","YV","Mesa Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","5849"
"Atlanta","OH","PSA Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","5431"
"Atlanta","AS","Alaska Airlines Inc.","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","3036"
"Atlanta","MQ","Envoy Air","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","2766"
"Atlanta","EV","ExpressJet Airlines LLC d/b/a aha!","ATL","Hartsfield Jackson Atlanta International Airport","33.6366996765","-84.4281005859","1026","854"
"Chicago","WN","Southwest Airlines Co.","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","292597"
"Chicago","UA","United Air Lines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","256939"
"Chicago","OO","SkyWest Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","215588"
"Chicago","AA","American Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","210906"
"Chicago","MQ","Envoy Air","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","196982"
"Chicago","YX","Republic Airline","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","85865"
"Chicago","DL","Delta Air Lines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","40746"
"Chicago","NK","Spirit Air Lines","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","32571"
"Chicago","WN","Southwest Airlines Co.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","19476"
"Chicago","EV","ExpressJet Airlines LLC d/b/a aha!","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","18903"
"Chicago","AS","Alaska Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","11611"
"Chicago","F9","Frontier Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","8725"
"Chicago","B6","JetBlue Airways","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","6310"
"Chicago","9E","Endeavor Air Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","5450"
"Chicago","OO","SkyWest Airlines Inc.","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","5169"
"Chicago","DL","Delta Air Lines Inc.","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","5023"
"Chicago","F9","Frontier Airlines Inc.","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","3634"
"Chicago","9E","Endeavor Air Inc.","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","3194"
"Chicago","YV","Mesa Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","2069"
"Chicago","G4","Allegiant Air","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","1156"
"Chicago","YX","Republic Airline","MDW","Chicago Midway International Airport","41.7859992981","-87.7524032593","620","926"
"Chicago","OH","PSA Airlines Inc.","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","568"
"Chicago","QX","Horizon Air","ORD","Chicago O'Hare International Airport","41.9785995500","-87.9048004200","672","488"
"Los Angeles","OO","SkyWest Airlines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","155988"
"Los Angeles","AA","American Airlines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","130481"
"Los Angeles","DL","Delta Air Lines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","128301"
"Los Angeles","WN","Southwest Airlines Co.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","120139"
"Los Angeles","UA","United Air Lines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","90641"
"Los Angeles","AS","Alaska Airlines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","49036"
"Los Angeles","NK","Spirit Air Lines","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","37237"
"Los Angeles","B6","JetBlue Airways","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","35686"
"Los Angeles","HA","Hawaiian Airlines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","8063"
"Los Angeles","G4","Allegiant Air","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","6072"
"Los Angeles","QX","Horizon Air","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","5643"
"Los Angeles","F9","Frontier Airlines Inc.","LAX","Los Angeles International Airport","33.9425010700","-118.4079971000","125","2973"
"Miami","AA","American Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","199767"
"Miami","MQ","Envoy Air","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","48758"
"Miami","DL","Delta Air Lines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","34067"
"Miami","YX","Republic Airline","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","25104"
"Miami","UA","United Air Lines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","20545"
"Miami","WN","Southwest Airlines Co.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","16673"
"Miami","F9","Frontier Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","13019"
"Miami","NK","Spirit Air Lines","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","11343"
"Miami","B6","JetBlue Airways","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","8704"
"Miami","YV","Mesa Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","530"
"Miami","AS","Alaska Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","319"
"Miami","9E","Endeavor Air Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","125"
"New York","B6","JetBlue Airways","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","154275"
"New York","YX","Republic Airline","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","133022"
