tavg,tmin,tmax,prcp,wspd,pres,Airport,City
-1.0,-3.9,1.5,50.9,16.1,1018.9,Midway,Chicago
-5.9,-10.2,-2.2,41.3,16.3,1022.5,Midway,Chicago
,2.3,12.1,35.9,,,Midway,Chicago
11.2,6.1,16.4,43.6,15.9,1014.0,Midway,Chicago
15.9,10.7,20.8,91.3,15.5,1019.5,Midway,Chicago
24.0,19.0,28.9,177.5,14.1,1012.9,Midway,Chicago
24.2,19.9,28.4,48.9,14.4,1015.6,Midway,Chicago
25.5,20.9,30.1,96.3,12.9,1015.2,Midway,Chicago
21.7,16.7,27.2,24.9,15.7,1014.4,Midway,Chicago
15.8,12.1,19.8,205.8,14.4,1013.6,Midway,Chicago
5.0,0.4,9.3,22.9,16.1,1019.5,Midway,Chicago
4.2,-0.2,8.5,54.9,16.7,1014.7,Midway,Chicago
-4.9,-9.6,-0.7,28.4,17.8,1021.6,Midway,Chicago
-1.6,-6.0,2.9,102.1,19.8,1021.4,Midway,Chicago
,1.2,10.5,101.8,,,Midway,Chicago
9.7,5.3,14.0,98.8,19.5,1014.5,Midway,Chicago
19.0,14.2,23.6,91.8,17.6,1013.0,Midway,Chicago
24.1,18.3,29.5,53.5,14.3,1014.1,Midway,Chicago
25.6,21.1,29.7,188.9,14.1,1013.5,Midway,Chicago
24.9,20.4,29.4,58.4,13.8,1015.1,Midway,Chicago
21.1,16.5,25.7,46.6,13.6,1016.6,Midway,Chicago
13.5,8.2,18.8,58.3,15.7,1016.5,Midway,Chicago
6.7,2.2,11.2,30.6,17.8,1019.2,Midway,Chicago
-1.2,-4.9,2.1,57.4,18.0,1019.1,Midway,Chicago
0.2,-2.5,3.2,63.0,15.7,1016.9,Midway,Chicago
1.4,-3.4,6.0,99.9,18.9,1016.8,Midway,Chicago
,-0.1,8.1,72.3,,,Midway,Chicago
11.4,5.7,17.2,41.5,16.9,1014.5,Midway,Chicago
17.2,11.6,23.2,14.7,14.2,1017.0,Midway,Chicago
21.8,16.7,27.4,51.3,14.1,1011.5,Midway,Chicago
24.2,19.6,29.2,282.6,11.8,1012.5,Midway,Chicago
23.5,18.9,28.0,102.2,14.4,1013.6,Midway,Chicago
20.5,16.0,24.9,82.3,12.3,1017.1,Midway,Chicago
13.6,9.3,17.7,84.6,15.6,1015.1,Midway,Chicago
6.7,2.1,11.2,29.3,15.0,1019.5,Midway,Chicago
4.8,1.7,7.6,75.2,14.7,1018.4,Midway,Chicago
-1.5,-4.1,1.1,50.0,15.4,1018.2,OHare,Chicago
-6.5,-10.5,-2.5,32.0,15.6,1021.5,OHare,Chicago
6.8,1.8,11.8,32.0,18.5,1020.2,OHare,Chicago
11.1,5.8,16.3,18.0,15.5,1013.7,OHare,Chicago
15.7,10.4,20.9,46.0,15.4,1019.5,OHare,Chicago
23.5,18.2,28.8,172.0,13.2,1013.3,OHare,Chicago
23.5,19.1,27.9,48.0,14.0,1016.2,OHare,Chicago
25.1,20.1,30.1,115.0,12.0,1015.6,OHare,Chicago
21.3,15.9,26.6,31.0,14.4,1014.7,OHare,Chicago
15.4,11.5,19.2,147.0,14.1,1013.7,OHare,Chicago
4.6,0.3,9.0,18.0,15.3,1018.8,OHare,Chicago
3.3,-1.0,7.7,58.5,15.8,1014.0,OHare,Chicago
-6.2,-10.7,-1.8,21.4,17.1,1020.6,OHare,Chicago
-2.8,-6.9,1.9,65.9,19.1,1020.4,OHare,Chicago
4.6,0.2,9.5,93.8,16.9,,OHare,Chicago
8.4,3.9,12.9,134.8,18.0,1014.0,OHare,Chicago
17.6,12.9,22.3,88.3,17.3,1013.2,OHare,Chicago
22.6,16.6,28.1,67.8,13.8,1014.5,OHare,Chicago
24.2,19.4,28.6,114.3,14.1,1014.0,OHare,Chicago
23.5,18.7,28.3,52.2,13.5,1015.6,OHare,Chicago
19.6,14.9,24.4,56.0,13.3,1017.0,OHare,Chicago
12.0,6.8,17.7,42.2,14.8,1016.3,OHare,Chicago
6.4,1.8,10.9,21.9,17.1,1018.5,OHare,Chicago
-1.5,-5.2,2.1,55.0,17.1,1018.1,OHare,Chicago
0.1,-2.7,3.1,66.0,14.4,1016.1,OHare,Chicago
1.0,-3.5,5.7,97.3,17.9,1016.1,OHare,Chicago
3.5,-0.2,7.8,96.3,18.0,,OHare,Chicago
10.9,5.2,16.8,51.4,16.6,1014.1,OHare,Chicago
16.8,10.6,23.2,18.1,14.6,1017.2,OHare,Chicago
21.6,15.7,27.5,60.0,14.1,1011.9,OHare,Chicago
24.2,19.3,29.2,193.4,11.3,1012.9,OHare,Chicago
23.6,18.6,28.4,33.8,14.3,1014.0,OHare,Chicago
20.5,16.2,25.4,85.7,12.1,1017.4,OHare,Chicago
14.2,9.7,18.2,58.0,15.2,1014.9,OHare,Chicago
